"Country","Method","Energy.type","IEAMW","Chopped.mat","Chopped.var","Product.aggregation","Industry.aggregation","GrossNet","Sector","var","1971","2000"
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Industry not elsewhere specified","Useful",47731.4724489853,134995.882638534
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Industry not elsewhere specified","eta_fu",0.259872475698043,0.295922673952416
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Iron and steel","Final",194795.0838,193032.2159
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Iron and steel","Useful",33105.3239860955,47088.1205364471
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Iron and steel","eta_fu",0.169949484043886,0.243939180394847
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Machinery","Final",1644.552,929.304
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Machinery","Useful",107.737600342209,121.656741643739
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Machinery","eta_fu",0.065511823488834,0.130911673299307
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Mining and quarrying","Final",89440.0137,132754.0542
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Mining and quarrying","Useful",18012.890885452,46561.9303296175
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Mining and quarrying","eta_fu",0.201396334149399,0.350738292779141
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Non-energy use in chemical/petrochemical","Final",33194.2816,234534.7732
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Non-energy use in chemical/petrochemical","Useful",31.31536,221.25922
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Non-energy use in chemical/petrochemical","eta_fu",0.000943396226415094,0.000943396226415094
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Non-energy use industry/transformation/energy","Final",8477.9979,18315.360998
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Non-energy use industry/transformation/energy","Useful",8.4779979,18.0722273
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Non-energy use industry/transformation/energy","eta_fu",0.001,0.000986725148468188
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Non-ferrous metals","Final",83106.2537,56248.416
